date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:07:05	17707/17707	---M--	200	added ('OK')	text/css	etag:%22452b-63a628827aee0%22	https://itsa.edu.bo/wp-content/et-cache/6/et-core-unified-tb-353-deferred-6.min.css?ver=1753044725	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/et-cache/6/et-core-unified-tb-353-deferred-6.mincfe0.css	(from https://itsa.edu.bo/)
08:07:05	39395/39395	---M--	200	added ('OK')	image/png	etag:%2299e3-5d5048bc33d58%22	https://itsa.edu.bo/wp-content/uploads/2022/01/logo.png	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2022/01/logo.png	(from https://itsa.edu.bo/)
08:07:05	299/299	---M--	200	added ('OK')	image/png	etag:%2212b-5d503bbbbd688%22	https://itsa.edu.bo/wp-content/uploads/2022/01/high-school_26.png	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2022/01/high-school_26.png	(from https://itsa.edu.bo/)
08:07:05	308828/308828	---M--	200	added ('OK')	image/jpeg	etag:%224b65c-62b75a6517848%22	https://itsa.edu.bo/wp-content/uploads/2025/01/carreras.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/carreras.jpg	(from https://itsa.edu.bo/)
08:07:06	278974/278974	---M--	200	added ('OK')	image/jpeg	etag:%22441be-62b75b698c468%22	https://itsa.edu.bo/wp-content/uploads/2025/01/carreras-2.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/carreras-2.jpg	(from https://itsa.edu.bo/)
08:07:06	65192/65192	---M--	200	added ('OK')	image/jpeg	etag:%22fea8-5d507249f3fe8%22	https://itsa.edu.bo/wp-content/uploads/2022/01/coboce.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2022/01/coboce.jpg	(from https://itsa.edu.bo/)
08:07:06	22847/22847	---M--	200	added ('OK')	image/jpeg	etag:%22593f-63025f6cac130%22	https://itsa.edu.bo/wp-content/uploads/2025/03/afiche-400x250.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/03/afiche-400x250.jpg	(from https://itsa.edu.bo/)
08:07:06	145232/145232	---M--	200	added ('OK')	image/png	etag:%2223750-62bf34a239488%22	https://itsa.edu.bo/wp-content/uploads/2025/01/admision2025-1-400x250.png	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/admision2025-1-400x250.png	(from https://itsa.edu.bo/)
08:07:07	16950/16950	---M--	200	added ('OK')	image/jpeg	etag:%224236-62b7567409288%22	https://itsa.edu.bo/wp-content/uploads/2025/01/gobernador-400x250.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/gobernador-400x250.jpg	(from https://itsa.edu.bo/)
08:07:07	138549/138549	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:03:44%20GMT	https://itsa.edu.bo/directores/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/directores/index.html	(from https://itsa.edu.bo/)
08:07:07	11256/11256	---M--	200	added ('OK')	text/css	etag:%222bf8-5b075c75d5c80%22	https://itsa.edu.bo/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://itsa.edu.bo/)
08:07:07	4186/4186	---M--	200	added ('OK')	text/css	etag:%22105a-58ac1e7924f80%22	https://itsa.edu.bo/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.8.2	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-includes/js/mediaelement/wp-mediaelement.min6c2d.css	(from https://itsa.edu.bo/)
08:07:07	87553/87553	---M--	200	added ('OK')	application/javascript	etag:%2215601-609a40c9b5180%22	https://itsa.edu.bo/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-includes/js/jquery/jquery.minf43b.js	(from https://itsa.edu.bo/)
08:07:07	13577/13577	---M--	200	added ('OK')	application/javascript	etag:%223509-6027700b533d8%22	https://itsa.edu.bo/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://itsa.edu.bo/)
08:07:08	149821/149821	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:03:45%20GMT	https://itsa.edu.bo/518-2/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/518-2/index.html	(from https://itsa.edu.bo/)
08:07:08	278558/278558	---M--	200	added ('OK')	application/javascript	etag:%224401e-5d50351ac97c8%22	https://itsa.edu.bo/wp-content/themes/Divi/js/scripts.min.js?ver=4.14.5	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/themes/Divi/js/scripts.minba88.js	(from https://itsa.edu.bo/)
08:07:08	3349/3349	---M--	200	added ('OK')	application/javascript	etag:%22d15-5d5035199b3d8%22	https://itsa.edu.bo/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/jquery.fitvids.js?ver=4.14.5	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/jquery.fitvidsba88.js	(from https://itsa.edu.bo/)
08:07:08	9318/9318	---M--	200	added ('OK')	application/javascript	etag:%222466-5d5035199b7c0%22	https://itsa.edu.bo/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/easypiechart.js?ver=4.14.5	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/easypiechartba88.js	(from https://itsa.edu.bo/)
08:07:08	8574/8574	---M--	200	added ('OK')	application/javascript	etag:%22217e-5d5035199a820%22	https://itsa.edu.bo/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/salvattore.js?ver=4.14.5	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/salvattoreba88.js	(from https://itsa.edu.bo/)
08:07:08	168230/168230	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:03:46%20GMT	https://itsa.edu.bo/eventos/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/eventos/index.html	(from https://itsa.edu.bo/)
08:07:08	1343/1343	---M--	200	added ('OK')	application/javascript	etag:%2253f-5d503518b6f80%22	https://itsa.edu.bo/wp-content/themes/Divi/core/admin/js/common.js?ver=4.14.5	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/themes/Divi/core/admin/js/commonba88.js	(from https://itsa.edu.bo/)
08:07:09	158005/158005	---M--	200	added ('OK')	application/javascript	etag:%2226935-5ec7664bf2da0%22	https://itsa.edu.bo/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.17	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-includes/js/mediaelement/mediaelement-and-player.min1f61.js	(from https://itsa.edu.bo/)
08:07:09	1191/1191	---M--	200	added ('OK')	application/javascript	etag:%224a7-5dfcfd9b38330%22	https://itsa.edu.bo/wp-includes/js/mediaelement/mediaelement-migrate.min.js?ver=6.8.2	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-includes/js/mediaelement/mediaelement-migrate.min6c2d.js	(from https://itsa.edu.bo/)
08:07:09	1107/1107	---M--	200	added ('OK')	application/javascript	etag:%22453-5f817a414d818%22	https://itsa.edu.bo/wp-includes/js/mediaelement/wp-mediaelement.min.js?ver=6.8.2	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-includes/js/mediaelement/wp-mediaelement.min6c2d.js	(from https://itsa.edu.bo/)
08:07:16	131233/131233	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:03:47%20GMT	https://itsa.edu.bo/102-2/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/102-2/index.html	(from https://itsa.edu.bo/)
08:07:16	133768/133768	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:03:48%20GMT	https://itsa.edu.bo/56-2/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/56-2/index.html	(from https://itsa.edu.bo/)
08:07:17	152074/152074	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:03:48%20GMT	https://itsa.edu.bo/2025/01/15/proceso-de-admision-nuevo-2025/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/2025/01/15/proceso-de-admision-nuevo-2025/index.html	(from https://itsa.edu.bo/)
08:07:17	169062/169062	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:03:48%20GMT	https://itsa.edu.bo/2025/03/12/jornadas-de-capacitacion-2025/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/2025/03/12/jornadas-de-capacitacion-2025/index.html	(from https://itsa.edu.bo/)
08:07:17	145/145	---M--	200	added ('OK')	image/png	etag:%2291-5d503bbbc6710%22	https://itsa.edu.bo/wp-content/uploads/2022/01/high-school_17.png	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2022/01/high-school_17.png	(from https://itsa.edu.bo/wp-content/et-cache/6/et-core-unified-tb-353-deferred-6.min.css?ver=1753044725)
08:07:17	169232/169232	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:03:55%20GMT	https://itsa.edu.bo/2025/01/11/estudio-de-diseno-tecnico-de-preinversion/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/2025/01/11/estudio-de-diseno-tecnico-de-preinversion/index.html	(from https://itsa.edu.bo/)
08:07:17	7731/7731	---MC-	200	added ('OK')	application/json	date:Mon,%2028%20Jul%202025%2012:03:55%20GMT	https://itsa.edu.bo/wp-json/wp/v2/pages/536	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-json/wp/v2/pages/536.json	(from https://itsa.edu.bo/directores/)
08:07:17	2087/2087	---MC-	200	added ('OK')	application/json	date:Mon,%2028%20Jul%202025%2012:03:56%20GMT	https://itsa.edu.bo/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fitsa.edu.bo%2Fdirectores%2F	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-json/oembed/1.0/embed4cf4.json	(from https://itsa.edu.bo/directores/)
08:07:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Jul%202025%2012:03:56%20GMT	https://itsa.edu.bo/?p=536	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/indexd379.html	(from https://itsa.edu.bo/directores/)
08:07:18	2243/2243	---MC-	200	added ('OK')	text/xml	date:Mon,%2028%20Jul%202025%2012:03:56%20GMT	https://itsa.edu.bo/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fitsa.edu.bo%2Fdirectores%2F&format=xml	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-json/oembed/1.0/embedcf99	(from https://itsa.edu.bo/directores/)
08:07:18	269061/269061	---M--	200	added ('OK')	image/png	etag:%2241b05-62b51f54bb608%22	https://itsa.edu.bo/wp-content/uploads/2025/01/Rectora-3.png	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/Rectora-3.png	(from https://itsa.edu.bo/directores/)
08:07:18	117102/117102	---M--	200	added ('OK')	image/png	etag:%221c96e-62b51fb530bc8%22	https://itsa.edu.bo/wp-content/uploads/2025/01/PABLO-HUIZA-2.png	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/PABLO-HUIZA-2.png	(from https://itsa.edu.bo/directores/)
08:07:18	2731994/2731994	---M--	200	added ('OK')	image/png	etag:%2229afda-62bf3142c3628%22	https://itsa.edu.bo/wp-content/uploads/2025/01/academico-3.png	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/academico-3.png	(from https://itsa.edu.bo/directores/)
08:07:19	97304/97304	---M--	200	added ('OK')	image/png	etag:%2217c18-62b522cab04f0%22	https://itsa.edu.bo/wp-content/uploads/2025/01/secretaria.png	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/secretaria.png	(from https://itsa.edu.bo/directores/)
08:07:19	14793/14793	---MC-	200	added ('OK')	application/json	date:Mon,%2028%20Jul%202025%2012:03:57%20GMT	https://itsa.edu.bo/wp-json/wp/v2/pages/518	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-json/wp/v2/pages/518.json	(from https://itsa.edu.bo/518-2/)
08:07:19	2071/2071	---MC-	200	added ('OK')	application/json	date:Mon,%2028%20Jul%202025%2012:03:57%20GMT	https://itsa.edu.bo/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fitsa.edu.bo%2F518-2%2F	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-json/oembed/1.0/embedafbb.json	(from https://itsa.edu.bo/518-2/)
08:07:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Jul%202025%2012:03:58%20GMT	https://itsa.edu.bo/?p=518	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/indexa51f.html	(from https://itsa.edu.bo/518-2/)
08:07:19	2227/2227	---MC-	200	added ('OK')	text/xml	date:Mon,%2028%20Jul%202025%2012:03:58%20GMT	https://itsa.edu.bo/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fitsa.edu.bo%2F518-2%2F&format=xml	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-json/oembed/1.0/embed9dcd	(from https://itsa.edu.bo/518-2/)
08:07:19	380068/380068	---M--	200	added ('OK')	image/jpeg	etag:%225cca4-62b5242b38998%22	https://itsa.edu.bo/wp-content/uploads/2025/01/administracion.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/administracion.jpg	(from https://itsa.edu.bo/518-2/)
08:07:20	381785/381785	---M--	200	added ('OK')	image/jpeg	etag:%225d359-62b5248e68ef0%22	https://itsa.edu.bo/wp-content/uploads/2025/01/construccion.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/construccion.jpg	(from https://itsa.edu.bo/518-2/)
08:07:20	366816/366816	---M--	200	added ('OK')	image/jpeg	etag:%22598e0-62b524be92090%22	https://itsa.edu.bo/wp-content/uploads/2025/01/contaduria.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/contaduria.jpg	(from https://itsa.edu.bo/518-2/)
08:07:20	353331/353331	---M--	200	added ('OK')	image/jpeg	etag:%2256433-62b52550b2ba0%22	https://itsa.edu.bo/wp-content/uploads/2025/01/gastronomia.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/gastronomia.jpg	(from https://itsa.edu.bo/518-2/)
08:07:20	387500/387500	---M--	200	added ('OK')	image/jpeg	etag:%225e9ac-62b5259dae3f0%22	https://itsa.edu.bo/wp-content/uploads/2025/01/industrial.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/industrial.jpg	(from https://itsa.edu.bo/518-2/)
08:07:20	129846/129846	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:03:58%20GMT	https://itsa.edu.bo/administracion-de-empresas/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/administracion-de-empresas/index.html	(from https://itsa.edu.bo/518-2/)
08:07:20	378829/378829	---M--	200	added ('OK')	image/jpeg	etag:%225c7cd-62b52659fe7f8%22	https://itsa.edu.bo/wp-content/uploads/2025/01/mecanica.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/mecanica.jpg	(from https://itsa.edu.bo/518-2/)
08:07:21	364518/364518	---M--	200	added ('OK')	image/jpeg	etag:%2258fe6-62b52682189c8%22	https://itsa.edu.bo/wp-content/uploads/2025/01/secretariado.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/secretariado.jpg	(from https://itsa.edu.bo/518-2/)
08:07:21	383297/383297	---M--	200	added ('OK')	image/jpeg	etag:%225d941-62b526cc7ccd0%22	https://itsa.edu.bo/wp-content/uploads/2025/01/sistemas.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/sistemas.jpg	(from https://itsa.edu.bo/518-2/)
08:07:21	393920/393920	---M--	200	added ('OK')	image/jpeg	etag:%22602c0-62b526e1ef860%22	https://itsa.edu.bo/wp-content/uploads/2025/01/topografia.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/topografia.jpg	(from https://itsa.edu.bo/518-2/)
08:07:22	116345/116345	---M--	200	added ('OK')	text/css	etag:%221c679-639fb67174628%22	https://itsa.edu.bo/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-includes/css/dist/block-library/style.min6c2d.css	(from https://itsa.edu.bo/eventos/)
08:07:22	129610/129610	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:03:59%20GMT	https://itsa.edu.bo/construccion-civil/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/construccion-civil/index.html	(from https://itsa.edu.bo/518-2/)
08:07:22	2061/2061	---M--	200	added ('OK')	text/css	etag:%2280d-63a62880211f8%22	https://itsa.edu.bo/wp-content/et-cache/global/et-divi-customizer-global.min.css?ver=1753044723	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/et-cache/global/et-divi-customizer-global.mine137.css	(from https://itsa.edu.bo/eventos/)
08:07:22	129127/129127	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:04:00%20GMT	https://itsa.edu.bo/contaduria-general/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/contaduria-general/index.html	(from https://itsa.edu.bo/518-2/)
08:07:22	4789/4789	---M--	200	added ('OK')	text/css	etag:%2212b5-63a62881236c8%22	https://itsa.edu.bo/wp-content/et-cache/353/et-core-unified-cpt-deferred-353.min.css?ver=1753044724	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/et-cache/353/et-core-unified-cpt-deferred-353.min8e40.css	(from https://itsa.edu.bo/eventos/)
08:07:22	84269/84269	---M--	200	added ('OK')	image/jpeg	etag:%221492d-63025f6cc8a38%22	https://itsa.edu.bo/wp-content/uploads/2025/03/afiche-905x675.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/03/afiche-905x675.jpg	(from https://itsa.edu.bo/eventos/)
08:07:23	129038/129038	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:04:00%20GMT	https://itsa.edu.bo/gastronomia-2/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/gastronomia-2/index.html	(from https://itsa.edu.bo/518-2/)
08:07:23	619779/619779	---M--	200	added ('OK')	image/png	etag:%2297503-62bf34a2aacf0%22	https://itsa.edu.bo/wp-content/uploads/2025/01/admision2025-1-1080x662.png	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/admision2025-1-1080x662.png	(from https://itsa.edu.bo/eventos/)
08:07:23	80397/80397	---M--	200	added ('OK')	image/jpeg	etag:%2213a0d-62b7567441110%22	https://itsa.edu.bo/wp-content/uploads/2025/01/gobernador-1080x675.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/gobernador-1080x675.jpg	(from https://itsa.edu.bo/eventos/)
08:07:23	619779/619779	---M--	200	added ('OK')	image/png	etag:%2297503-62b9bb8bc4780%22	https://itsa.edu.bo/wp-content/uploads/2025/01/admision2025-1080x662.png	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/admision2025-1080x662.png	(from https://itsa.edu.bo/eventos/)
08:07:23	132718/132718	---M--	200	added ('OK')	image/jpeg	etag:%222066e-62b10e0dc3940%22	https://itsa.edu.bo/wp-content/uploads/2025/01/fipab-1080x675.jpg	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/uploads/2025/01/fipab-1080x675.jpg	(from https://itsa.edu.bo/eventos/)
08:07:24	5204/5204	---M--	200	added ('OK')	text/css	etag:%221454-63a62db5166d8%22	https://itsa.edu.bo/wp-content/et-cache/102/et-divi-dynamic-tb-353-102.css?ver=1753046121	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/wp-content/et-cache/102/et-divi-dynamic-tb-353-102542d.css	(from https://itsa.edu.bo/102-2/)
08:07:24	132497/132497	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:04:01%20GMT	https://itsa.edu.bo/informatica-industrial/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/informatica-industrial/index.html	(from https://itsa.edu.bo/518-2/)
08:07:24	129317/129317	---MC-	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2012:04:02%20GMT	https://itsa.edu.bo/mecanica-automotriz/	C:/Mis%20lugares%20Web/itsa/itsa.edu.bo/mecanica-automotriz/index.html	(from https://itsa.edu.bo/518-2/)
